,source,polarity,subjectivity,(ukraine:length)*100,(war:length)*100,(russia:length)*100,(putin:length)*100,(zelensky:length)*100,link
119,Aljazeera,0.03296,0.33156,0.2499,0.1458,0.0416,0.0,0.1458,https://www.aljazeera.com/news/2023/2/4/ukraine-will-fight-for-bakhmut-as-long-as-we-can-zelenskyy
120,Aljazeera,0.01538,0.3971,0.1052,0.0526,0.333,0.0175,0.0351,https://www.aljazeera.com/news/2023/2/3/eu-agrees-price-caps-on-russian-oil-products
121,Aljazeera,-0.06354,0.28802,0.2704,0.1082,0.3245,0.0541,0.0,https://www.aljazeera.com/news/2023/2/3/ukraines-prosecutor-launches-criminal-case-against-wagner-chief
122,Aljazeera,0.06856,0.25175,0.0799,0.1597,0.1997,0.0,0.0,https://www.aljazeera.com/news/2023/2/3/poland-calls-to-block-russia-and-belarus-from-the-2024-olympics
123,Aljazeera,0.0901,0.31342,0.2883,0.032,0.4484,0.032,0.0641,https://www.aljazeera.com/news/2023/2/3/russia-ukraine-war-list-of-key-events-day-345
124,Aljazeera,0.05728,0.35902,0.1857,0.0929,0.2786,0.1548,0.031,https://www.aljazeera.com/news/2023/2/2/putin-invokes-stalingrad-battle-as-justifying-ukraine-fight
125,Aljazeera,0.14143,0.37321,0.3888,0.0518,0.2333,0.0,0.1037,https://www.aljazeera.com/news/2023/2/2/top-eu-officials-arrive-in-ukraine-ahead-of-summit
126,Aljazeera,0.03032,0.39969,0.2473,0.019,0.3044,0.0,0.019,https://www.aljazeera.com/news/2023/2/2/analysis-ukraines-new-weapon-will-force-a-russian-shift
127,Aljazeera,0.05741,0.25367,0.3017,0.1131,0.3771,0.0377,0.0,https://www.aljazeera.com/news/2023/2/2/russia-ukraine-war-list-of-key-events-day-344
128,Aljazeera,0.08925,0.33423,0.3138,0.1569,0.0314,0.0,0.1883,https://www.aljazeera.com/news/2023/2/1/home-of-ukrainian-oil-tycoon-raided-in-anti-corruption-purge
129,Aljazeera,0.01986,0.31271,0.3258,0.0752,0.2256,0.0501,0.0251,https://www.aljazeera.com/news/2023/2/1/western-weapons-deliveries-are-in-a-race-against-a-renewed-russia
130,Aljazeera,0.09468,0.44807,0.2949,0.1264,0.2106,0.0,0.0,https://www.aljazeera.com/news/2023/2/1/ukrainian-soldiers-killed-by-russian-forces-mourned-by-families
131,Aljazeera,0.00769,0.26538,0.0991,0.0495,0.2476,0.0,0.0,https://www.aljazeera.com/news/2023/2/1/after-training-belarusian-forces-are-guiding-russian-missiles
132,Aljazeera,-0.00351,0.4607,0.0738,0.0492,0.0738,0.0,0.0,https://www.aljazeera.com/news/2023/2/1/life-as-a-imprisoned-social-worker-in-donetsk
133,Aljazeera,0.03663,0.29061,0.1691,0.0845,0.3804,0.0,0.0423,https://www.aljazeera.com/news/2023/2/1/russia-ukraine-war-list-of-key-events-day-343
